Seq_No,name,rating,reviews,domain,location,years_old,employee_strength,Domains,Market,Company_Type,
52,Flipkart,4.3,2.2k,Private,Bangalore + 177 more,13 years old,10000+ employees,Consumer goods, Internet, Startup,
53,Lupin,4.2,2.2k,Public,Mumbai + 99 more,52 years old,10000+ employees,Healthcare/Pharma, Manufacturing, Fortune500,
54,WIPRO CONSUMER CARE & LI...,3.8,2.1k,Private,Bengaluru + 53 more,75 years old,5001-10000 employees,Consumer goods, FMCG, MNC,
55,Ernst & Young,3.8,2.1k,Private,London + 41 more,31 years old,10000+ employees,Banking/Insurance/Accounting, Consulting, MNC,
56,OPPO,4,2.1k,Public,Shenzhen + 239 more,16 years old,10000+ employees,Manufacturing, Electronics, MNC,
57,HDFC LIFE,4,2.1k,Partnership,Mumbai + 289 more,20 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
58,Asian Paints,4.3,2.1k,Public,Mumbai + 184 more,78 years old,5001-10000 employees,Consumer goods, Manufacturing, MNC,
59,PayTM,4,2.1k,Private,Noida + 174 more,10 years old,10000+ employees,Internet, Startup,,
60,Deloitte,3.9,2k,Private,New York + 29 more,175 years old,10000+ employees,Consulting, MNC,,
61,Nokia,4.4,2k,Private,Espoo + 142 more,155 years old,10000+ employees,Manufacturing, Electronics, MNC,
62,Hindustan Unilever,4.4,2k,Public,London + 220 more,91 years old,10000+ employees,Consumer goods, Food & Beverages, Manufacturing,
63,Wipro Infotech,3.9,2k,Private,Bangalore + 106 more,75 years old,10000+ employees,IT/ITES, MNC,,
64,Wipro BPS,3.8,1.9k,,Bengaluru + 22 more,20 years old,10000+ employees,BPO/KPO, IT/ITES,,
65,Shriram Transport Financ...,4.1,1.9k,Public,Mumbai + 408 more,41 years old,10000+ employees,Financial Services, Fortune500, Conglomerate,
66,Ashok Leyland,4.3,1.9k,Public,Chennai + 129 more,72 years old,10000+ employees,Automobile, Manufacturing, MNC,
67,Axis Securities,4,1.9k,Private,Mumbai + 225 more,15 years old,10000+ employees,Financial Services,,,
68,Hyundai Motor,4.3,1.9k,Private,Seoul + 157 more,53 years old,10000+ employees,Automobile, Machinery / Equipment, Manufacturing,
69,Shapoorji Pallonji,4.3,1.9k,Private,Mumbai + 95 more,155 years old,10000+ employees,Construction, Conglomerate,,
70,Sun Pharmaceutical Indus...,4,1.9k,Public,Mumbai + 100 more,37 years old,10000+ employees,Healthcare/Pharma, Research & Development, MNC,
71,Zydus Cadila,4.1,1.9k,Public,Ahmedabad, India + 97 more,68 years old,10000+ employees,Biotech & Life sciences, Healthcare/Pharma,
72,Vivo Smartphone,4,1.9k,Private,Dongguan + 226 more,11 years old,10000+ employees,Manufacturing, Electronics, MNC,
73,ITC,4.1,1.9k,Public,Kolkata + 121 more,110 years old,10000+ employees,Consumer goods, FMCG, Manufacturing,
74,Apollo Hospitals,4.1,1.8k,Public,Chennai + 92 more,37 years old,10000+ employees,Healthcare/Pharma, MNC, Fortune500,
75,UltraTech Cement,4.4,1.8k,Public,Mumbai + 200 more,37 years old,10000+ employees,Construction, Manufacturing, Fortune500,
76,Muthoot Fincorp,3.9,1.8k,Private,Kochi + 307 more,133 years old,10000+ employees,Financial Services, Fortune500,,
77,Mahindra & Mahindra Fina...,4.3,1.8k,,Mumbai + 342 more,29 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
78,NTT DATA,3.6,1.8k,Private,Tokyo, JAPAN + 18 more,32 years old,10000+ employees,IT/ITES, MNC,
79,IIFL,3.8,1.8k,Public,Mumbai + 265 more,25 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
80,IDFC FIRST Bank,4,1.8k,Public,Mumbai + 144 more,26 years old,5001-10000 employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
81,Dominos Pizza,4.2,1.8k,Public,Ann Arbor + 151 more,60 years old,10000+ employees,Food & Beverages, Travel & Tourism / Hospitality, MNC,
82,Ujjivan Small Finance Ba...,4.1,1.7k,Public,Bengaluru + 227 more,3 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
83,Bosch,4.2,1.7k,Public,Sttugart + 55 more,134 years old,10000+ employees,Engineering, Fortune500,,
84,TVS Motor,4.2,1.7k,Public,Hosur + 151 more,41 years old,5001-10000 employees,Automobile, Manufacturing, Transportation,
85,UnitedHealth,4.1,1.7k,Private,Minnesota + 10 more,43 years old,10000+ employees,Healthcare/Pharma,,,
86,EXL Service,3.8,1.7k,Private,New York, USA + 15 more,21 years old,10000+ employees,Consulting, IT/ITES,
87,Wipro Enterprises Ltd,3.7,1.7k,,Bangalore + 41 more,75 years old,10000+ employees,IT/ITES,,,
88,JBM Group,4,1.6k,Public,Gurugram + 50 more,37 years old,10000+ employees,Machinery / Equipment, Manufacturing, Conglomerate,
89,eClerx,3.7,1.6k,Public,Mumbai + 11 more,20 years old,5001-10000 employees,Consulting, IT/ITES,,
90,Aurobindo Pharma,4.1,1.6k,Public,Hyderabad + 26 more,34 years old,10000+ employees,Healthcare/Pharma, Fortune500, MNC,
91,Hero MotoCorp,4.2,1.6k,Public,New Delhi + 170 more,36 years old,10000+ employees,Automobile, Manufacturing, Fortune500,
92,NIIT Technologies,3.8,1.6k,Public,Noida + 101 more,16 years old,5001-10000 employees,Computer Software, IT/ITES, Fortune500,
93,Muthoot Group,3.8,1.6k,Public,New Delhi + 261 more,133 years old,10000+ employees,Financial Services, Conglomerate,,
94,Simplex Infrastructures,3.8,1.5k,Public,Kolkata + 92 more,96 years old,5001-10000 employees,Construction, Mining & Metals, Transportation,
95,Cyient,3.6,1.5k,Public,Hyderabad + 20 more,29 years old,10000+ employees,Engineering, IT/ITES, Manufacturing,
96,Oracle,3.7,1.5k,Private,California + 23 more,43 years old,10000+ employees,Computer Software, IT/ITES,,
97,Mylan Laboratories,4.2,1.5k,Private,Canonsburg,Pennsylvania + 37 more,59 years old,10000+ employees,Healthcare/Pharma, MNC,
98,Syntel,3.6,1.5k,Private,Troy + 11 more,40 years old,10000+ employees,IT/ITES, MNC,,
99,Max Life Insurance,4.3,1.5k,Partnership,Gurugram + 185 more,20 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
100,Fidelity National Inform...,3.9,1.5k,Private,Florida + 19 more,52 years old,10000+ employees,Financial Services, MNC,,
101,JP Morgan Chase,4.1,1.5k,Private,New York + 5 more,221 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
102,Tata Teleservices,4.3,1.5k,Public,Mumbai + 143 more,24 years old,1001-5000 employees,IT/ITES, Telecom/ISP,,
103,JustDial,3.8,1.4k,Public,Mumbai + 86 more,24 years old,10000+ employees,Internet,,,
104,Siemens India,4.2,1.4k,Public,Mumbai + 67 more,153 years old,1001-5000 employees,Manufacturing, Electronics, Fortune500,
105,PwC,3.6,1.4k,Partnership,New York + 38 more,22 years old,10000+ employees,Banking/Insurance/Accounting, Consulting, Conglomerate,
106,Lava International,4.1,1.4k,Public,Noida + 175 more,11 years old,10000+ employees,Manufacturing, Electronics,,
107,First Source,4,1.4k,Public,Mumbai + 28 more,19 years old,10000+ employees,BPO/KPO, Fortune500,,
108,Dell,4.1,1.4k,Private,Texas + 47 more,36 years old,10000+ employees,Computer Hardware, Manufacturing, MNC,
109,Arvind Group,4.3,1.4k,Public,Ahmedabad + 110 more,89 years old,10000+ employees,Manufacturing, Textile/Apparel, Conglomerate,
110,State Bank of India,4.1,1.4k,Private,Mumbai + 198 more,65 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Government, MNC
111,Manappuram Finance,3.9,1.4k,Public,Thrissur + 241 more,71 years old,10000+ employees,Financial Services, Fortune500,,
112,Motherson Sumi Systems,3.9,1.4k,Public,Noida + 44 more,34 years old,10000+ employees,Automobile, Machinery / Equipment, Manufacturing,
113,Oyo Rooms,3.5,1.4k,Private,Gurgaon + 77 more,7 years old,10000+ employees,Internet, Travel & Tourism / Hospitality, Startup,
114,Godrej & Boyce Manufactu...,4,1.3k,Private,Mumbai + 83 more,123 years old,10000+ employees,Consumer goods, MNC,,
115,JSW Steel,4,1.3k,Public,Mumbai + 44 more,38 years old,10000+ employees,Iron/Steel, Mining & Metals, MNC,
116,Larsen & Toubro Infotech,3.6,1.3k,Public,Mumbai + 48 more,24 years old,10000+ employees,Consulting, IT/ITES, MNC,
117,TATA Steel,4.2,1.3k,Public,Mumbai + 67 more,113 years old,10000+ employees,Iron/Steel, Manufacturing, Fortune500,
118,Abbott Healthcare,4.2,1.3k,Public,Illinois + 108 more,132 years old,10000+ employees,Healthcare/Pharma, MNC, Fortune500,
119,Fullerton India,4.2,1.3k,Private,Mumbai + 248 more,13 years old,10000+ employees,Financial Services, Fortune500, Startup,
120,McDonald's,4.3,1.3k,Private,Chicago + 91 more,66 years old,10000+ employees,Food & Beverages, Travel & Tourism / Hospitality, MNC,
121,Renault-Nissan,4,1.3k,Partnership,Amsterdam + 51 more,21 years old,10000+ employees,Automobile, Manufacturing, MNC,
122,LG Electronics,4.1,1.3k,Public,Greater Noida + 130 more,23 years old,10000+ employees,Consumer goods, Machinery / Equipment, Electronics,
123,Gati kwe,4,1.3k,Private,Hyderabad + 114 more,8 years old,5001-10000 employees,Logistics/Shipping,,,
124,NCC,4.2,1.3k,Public,Hyderabad + 118 more,42 years old,5001-10000 employees,Construction, Fortune500, Conglomerate,
125,Suzlon Group,4.1,1.3k,Public,Pune + 57 more,25 years old,5001-10000 employees,Manufacturing, Power & Energy, MNC,
126,Tata Communications,4.2,1.3k,Public,Mumbai + 67 more,34 years old,10000+ employees,Telecom/ISP, Fortune500,,
127,RBS,4.1,1.3k,Private,Edinburgh + 16 more,293 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, MNC,
128,Ford Motor,4.4,1.3k,Private,Michigan + 79 more,117 years old,10000+ employees,Automobile, Manufacturing, MNC,
129,Shoppers Stop,4.3,1.3k,Public,Mumbai + 51 more,29 years old,10000+ employees,Retail, Textile/Apparel, Fashion/Accessories,
130,Sodexo,4.2,1.3k,Private,Paris + 75 more,54 years old,10000+ employees,Food & Beverages, Facilities Management, MNC,
131,Mindtree,3.8,1.3k,Public,Bangalore + 12 more,21 years old,10000+ employees,BPO/KPO, IT/ITES, Fortune500,
132,Hindustan Coca Cola Beve...,4.4,1.3k,Private,Bangalore + 116 more,23 years old,10000+ employees,Food & Beverages, Manufacturing, MNC,
133,Omega Healthcare,3.9,1.3k,Private,Florida + 10 more,16 years old,10000+ employees,Computer Software, Healthcare/Pharma,,
134,Royal Enfield,4.2,1.2k,Private,Chennai + 138 more,119 years old,10000+ employees,Automobile, Manufacturing, Transportation,
