Seq_No,name,rating,reviews,domain,location,years_old,employee_strength,Domains,Market,Company_Type,
183,Bhushan Power & Steel,3.8,1k,Private,New Delhi + 39 more,50 years old,5001-10000 employees,Iron/Steel, Mining & Metals, Power & Energy,
184,ICICI Lombard General In...,4,1k,Public,Mumbai + 128 more,19 years old,5001-10000 employees,Banking/Insurance/Accounting, Financial Services, MNC,
185,Torrent Pharmaceuticals,4.2,1k,Public,Ahmedabad + 71 more,61 years old,10000+ employees,Healthcare/Pharma, Fortune500,,
186,Alkem Laboratories,4.1,1k,Public,Mumbai + 82 more,47 years old,10000+ employees,Biotech & Life sciences, Healthcare/Pharma, Fortune500,
187,Havells,4.2,1k,Public,Noida + 77 more,62 years old,10000+ employees,Manufacturing, Electronics, MNC,
188,Indian Oil Corporation,4.4,1k,Private,New Delhi + 123 more,61 years old,10000+ employees,Oil/Gas/Petro Chemicals, Power & Energy, Government,
189,ACC,4.2,999,Public,Mumbai + 102 more,84 years old,10000+ employees,Construction, Fortune500,,
190,Deutsche Bank AG,4.1,997,,Frankfurt + 21 more,150 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Fortune500,
191,KPIT Technologies,3.6,996,Private,Pune + 17 more,26 years old,5001-10000 employees,Computer Software, IT/ITES, MNC,
192,UST Global,3.8,993,Private,Aliso Viejo + 20 more,21 years old,10000+ employees,IT/ITES,,,
193,Jindal Steel and Power,4.1,991,Private,New Delhi + 63 more,68 years old,10000+ employees,Iron/Steel, Manufacturing, Power & Energy,
194,Varun Beverages,4.1,990,Public,Gurgaon + 98 more,25 years old,1001-5000 employees,Food & Beverages, Manufacturing, Fortune500,
195,IQVIA,4,988,Partnership,Durham + 20 more,38 years old,10000+ employees,Healthcare/Pharma, IT/ITES,,
196,Ecom Express,4.1,984,Private,Gurugram + 239 more,8 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Startup,
197,Indiamart Intermesh,3.7,983,Private,Noida + 50 more,24 years old,1001-5000 employees,Internet,,,
198,G4S,4.2,976,Private,London + 69 more,119 years old,10000+ employees,Security Services, MNC,,
199,L & T Finance,4.1,966,Public,Mumbai + 195 more,26 years old,10000+ employees,Financial Services,,,
200,Flextronics Technologies,4,964,Private,San Jose + 16 more,51 years old,10000+ employees,Financial Services,,,
201,Aircel,4.3,962,Private,Mumbai + 105 more,21 years old,5001-10000 employees,Telecom/ISP,,,
202,Bajaj Electricals,4.3,959,Public,Mumbai + 111 more,82 years old,10000+ employees,Machinery / Equipment, Manufacturing, Electronics,
203,D Mart,4.2,957,Private,Mumbai + 74 more,20 years old,1001-5000 employees,Retail, Fortune500,,
204,Indian Navy,4.7,941,Private,New Delhi + 45 more,73 years old,10000+ employees,Defence, Federal Agencies, Government,
205,American Express,4.3,939,Public,New York + 23 more,170 years old,10000+ employees,Financial Services, MNC,,
206,Radisson Hotels,4.2,939,Private,Brussels + 63 more,60 years old,10000+ employees,Travel & Tourism / Hospitality,,,
207,Macleods Pharmaceuticals,4.1,936,Public,Mumbai + 53 more,34 years old,5001-10000 employees,Biotech & Life sciences, Healthcare/Pharma,,
208,Dabur,4.3,935,Public,New Delhi + 119 more,136 years old,10000+ employees,Consumer goods, Healthcare/Pharma, Manufacturing,
209,Apollo Tyres,4.3,930,Public,Gurgaon + 90 more,48 years old,10000+ employees,Automobile, Manufacturing, MNC,
210,Alembic Pharmaceuticals,4.1,921,Public,Vadodara + 68 more,113 years old,10000+ employees,Healthcare/Pharma, Fortune500,,
211,Hindalco Industries,4.3,920,Public,Mumbai + 47 more,62 years old,10000+ employees,Manufacturing, Mining & Metals, Fortune500,
212,Delhi Public School,4,917,Private,Delhi + 158 more,71 years old,10000+ employees,Education, School / University,,
213,RSPL Group,4,915,Private,Kanpur + 85 more,32 years old,10000+ employees,Consumer goods,,,
214,Videocon d2h,3.8,914,Public,Mumbai + 127 more,11 years old,5001-10000 employees,Manufacturing, Electronics, Conglomerate,
215,Maersk Global Service Ce...,4.2,914,Private,Copenhagen + 9 more,21 years old,10000+ employees,Logistics/Shipping,,,
216,BHEL,4.4,914,Private,New Delhi + 61 more,64 years old,10000+ employees,Engineering, Manufacturing, Power & Energy,
217,MAGMA Fincorp,4.2,905,Public,Kolkata + 187 more,32 years old,10000+ employees,Manufacturing, Electronics, Fortune500,
218,Capita,3.6,903,Private,London,England + 5 more,36 years old,10000+ employees,BPO/KPO, Consulting,
219,Patanjali Ayurved,3.8,899,Private,New Delhi + 144 more,14 years old,10000+ employees,Beauty & Wellness, Consumer goods, Healthcare/Pharma,
220,Wells Fargo,4.1,898,Private,San Francisco + 5 more,168 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
221,DCB Bank,3.9,884,Private,Mumbai + 147 more,90 years old,5001-10000 employees,Banking/Insurance/Accounting, Fortune500,,
222,Team Lease,4,882,Public,Bangalore + 102 more,18 years old,10000+ employees,Recruitment consultant, Fortune500,,
223,Amdocs,4,881,Private,Chesterfield + 6 more,38 years old,10000+ employees,Logistics/Shipping, MNC,,
224,Thomson Reuters,4.2,876,Private,Toronto + 16 more,12 years old,10000+ employees,Computer Software, IT/ITES, MNC,
225,TVS Sundram Fasteners,4,870,Public,Chennai + 23 more,54 years old,10000+ employees,Construction, Fortune500,,
226,Pidilite Industries,4.4,866,Public,Mumbai + 108 more,61 years old,1001-5000 employees,Consumer goods, Manufacturing, Fortune500,
227,Big Bazaar,4.3,865,Private,Mumbai + 120 more,19 years old,10000+ employees,Retail, Textile/Apparel, Fashion/Accessories,
228,Karvy Fintech,3.6,863,,Hyderabad + 66 more,42 years old,5001-10000 employees,Construction,,,
229,Max Healthcare,4.1,859,Partnership,New Delhi + 41 more,35 years old,1001-5000 employees,Healthcare/Pharma,,,
230,Delhivery,4.1,857,Private,Gurgaon + 175 more,9 years old,10000+ employees,Logistics/Shipping, Startup,,
231,Rane TRW Steering System...,4.1,857,Private,Chennai + 41 more,33 years old,5001-10000 employees,Machinery / Equipment, Manufacturing,,
232,Ceat Tyres,4.3,856,Public,Mumbai + 65 more,62 years old,10000+ employees,Automobile, Machinery / Equipment, Manufacturing,
233,Jet Airways,4.5,844,Public,Mumbai + 40 more,27 years old,10000+ employees,Airlines/Aviation/Aerospace,,,
234,Nestle,4.2,841,Public,Vevey + 111 more,154 years old,10000+ employees,Food & Beverages, Manufacturing, Retail,
235,Adani Power,4.3,839,Public,Ahmedabad + 63 more,24 years old,1001-5000 employees,Manufacturing, Power & Energy, MNC,
236,24/7 Customer,3.8,837,Private,San Jose + 5 more,20 years old,10000+ employees,Computer Software, IT/ITES,,
237,Wockhardt,4.2,836,Public,Mumbai + 58 more,21 years old,5001-10000 employees,Healthcare/Pharma, Fortune500,,
238,Lifestyle,4.4,834,Private,Bangalore + 60 more,21 years old,10000+ employees,Retail, Textile/Apparel, Fashion/Accessories,
239,Vishal Mega Mart,4,825,Private,Gurugram + 138 more,34 years old,5001-10000 employees,Retail, Textile/Apparel,,
240,Voltas,4.2,824,Public,Mumbai + 91 more,66 years old,10000+ employees,Machinery / Equipment, Manufacturing, Electronics,
241,Dilip Buildcon,4.1,822,Public,Bhopal + 83 more,32 years old,10000+ employees,Construction, Fortune500,,
242,café Coffee day,4,819,Private,Banglore + 64 more,24 years old,10000+ employees,Food & Beverages, Retail,,
243,Yamaha Motor,4,818,Private,Iwata + 78 more,65 years old,10000+ employees,Automobile, Machinery / Equipment, Manufacturing,
244,Edelweiss,3.9,815,Public,Mumbai + 118 more,25 years old,10000+ employees,Financial Services, Conglomerate, Fortune500,
245,JMC Projects,4.2,809,Public,Mumbai + 46 more,38 years old,5001-10000 employees,Construction, IT/ITES,,
246,Kotak Mahindara Life Ins...,3.9,805,,Mumbai + 116 more,19 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
247,Blue Star,4.2,802,Public,Mumbai + 78 more,77 years old,10000+ employees,Consumer goods, Manufacturing, Electronics,
248,PNB MetLife,3.8,802,Private,Mumbai + 144 more,19 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
249,Exide Life Insurance,3.7,799,Private,Bengaluru + 146 more,19 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services,,
250,Birla Sun Life Insurance,4.2,798,Partnership,Mumbai + 189 more,20 years old,10000+ employees,Financial Services,,,
251,Exide Industries,4,798,Public,Kolkata + 119 more,100 years old,10000+ employees,Manufacturing, Electronics, MNC,
252,MRF Tyres,3.8,793,Public,Chennai + 117 more,74 years old,10000+ employees,Manufacturing, Plastics/Rubber, Fortune500,
253,AFCONS Infrastructure,4.4,788,Partnership,Mumbai + 36 more,61 years old,5001-10000 employees,Construction,,,
254,RBL Bank,3.8,784,Public,Mumbai + 121 more,77 years old,10000+ employees,Banking/Insurance/Accounting, Fortune500,,
255,Udaan,4.2,784,Private,Bangalore + 139 more,4 years old,1001-5000 employees,Consumer goods, Internet, Retail,
256,Itc Infotech India,3.4,783,Private,Kolkata + 24 more,20 years old,10000+ employees,Consulting, IT/ITES,,
257,Cummins India,4.3,779,,Mumbai + 43 more,,,Fortune500,,,
258,PVR Cinemas,4.2,778,Public,Gurgaon + 65 more,23 years old,10000+ employees,Media & Entertainment / Publishing, Fortune500,,
259,Aakash Institute,3.5,775,Private,New Delhi + 108 more,32 years old,1001-5000 employees,Education, Training / Coaching institutes,,
260,Blue Dart Express,4.1,774,Public,Mumbai + 109 more,37 years old,10000+ employees,Logistics/Shipping, Fortune500,,
261,Ajanta Pharma,3.9,769,Public,Mumbai + 68 more,47 years old,5001-10000 employees,Biotech & Life sciences, Healthcare/Pharma, MNC,
262,Tata Motors Finance,4.3,769,Private,Thane + 169 more,63 years old,1001-5000 employees,Financial Services,,,
263,Biocon,4.2,768,Public,Bangalore + 44 more,42 years old,10000+ employees,Biotech & Life sciences, Healthcare/Pharma, Fortune500,
264,Micro Labs,3.8,765,Private,Bangalore + 73 more,47 years old,10000+ employees,Healthcare/Pharma, Manufacturing, Research & Development,
265,Bank of America,4.3,764,Private,Charlotte + 18 more,22 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, MNC,
266,Tata AIA Life Insurance,3.9,762,Private,Mumbai + 128 more,19 years old,10000+ employees,Financial Services,,,
267,Randstad,3.9,758,Private,Diemen + 105 more,60 years old,10000+ employees,Recruitment consultant,,,
268,Sterling & Wilson,4.2,755,Private,Mumbai + 49 more,93 years old,5001-10000 employees,Engineering, Machinery / Equipment, Fortune500,
269,Emcure Pharmaceuticals,3.7,753,Private,Pune + 59 more,39 years old,10000+ employees,Healthcare/Pharma, MNC,,
270,Mankind Pharma,4.1,747,Private,New Delhi + 101 more,25 years old,10000+ employees,Healthcare/Pharma, Manufacturing, MNC,
271,Punj Lloyd,4.2,743,Public,Gurugram + 60 more,32 years old,5001-10000 employees,Construction, Engineering,,
272,Force Motors,3.8,740,Public,Pune + 57 more,62 years old,10000+ employees,Automobile, Machinery / Equipment, Manufacturing,
273,BigBasket,4.1,740,Private,Bangalore + 29 more,9 years old,5001-10000 employees,Internet, Retail, Startup,
274,Shahi Exports,4.2,739,Private,Faridabad + 30 more,46 years old,10000+ employees,Import / Export, Manufacturing, Textile/Apparel,
275,Karvy Data Management Se...,3.6,738,Private,Hyderabad + 62 more,12 years old,1001-5000 employees,BPO/KPO, IT/ITES,,
276,I Process Services,3.8,736,Private,New Delhi + 125 more,15 years old,10000+ employees,Computer Software, Recruitment,,
277,Tata Capital Financial S...,4.2,731,Public,Mumbai + 89 more,13 years old,5001-10000 employees,Financial Services, Fortune500,,
278,Mahindra Holidays & Reso...,3.9,731,Private,Mumbai + 65 more,24 years old,10000+ employees,Travel & Tourism / Hospitality,,,
279,JK Tyres,3.9,728,Private,New Delhi + 83 more,69 years old,10000+ employees,Automobile, Manufacturing, Plastics/Rubber,
280,ACT Fibernet,4.1,728,Private,Bangalore + 22 more,12 years old,5001-10000 employees,Telecom/ISP,,,
281,3i Infotech,3.8,720,Public,Mumbai + 62 more,27 years old,5001-10000 employees,IT/ITES, MNC,,
282,Sobha,4.2,720,Public,Bangalore + 23 more,25 years old,1001-5000 employees,Construction, Real Estate, Fortune500,
283,Amara Raja Group,4.1,720,Public,Tirupati + 51 more,35 years old,10000+ employees,Construction, Manufacturing, Electronics,
284,Power Mech Projects,3.9,719,Public,Hyderabad + 65 more,21 years old,10000+ employees,Construction, Fortune500,,
285,Raymond,4.3,716,Public,Mumbai + 74 more,95 years old,10000+ employees,Manufacturing, Retail, Textile/Apparel, Conglomerate
286,Ambuja Cements,4.2,716,Public,Mumbai + 106 more,37 years old,10000+ employees,Construction, Fortune500,,
287,Vertex Customer Solution...,3.7,714,Private,Panchkula + 29 more,10 years old,10000+ employees,Recruitment consultant,,,
288,GSK Pharmaceuticals,4.3,714,,Gothenberg + 101 more,93 years old,10000+ employees,Healthcare/Pharma, Manufacturing, Fortune500,
289,Indiabulls,3.9,709,Public,Mumbai + 103 more,20 years old,10000+ employees,Financial Services, Conglomerate,,
290,GlobalLogic,3.7,706,Private,San Jose + 14 more,20 years old,10000+ employees,Computer Software, IT/ITES,,
291,IDBI Bank,4,705,Public,Mumbai + 179 more,56 years old,10000+ employees,Banking/Insurance/Accounting, Financial Services, Government,
292,Emami,3.9,704,Public,Kolkata + 94 more,46 years old,10000+ employees,Beauty & Wellness, Consumer goods, Conglomerate,
293,Brakes India,4.2,704,Partnership,Chennai + 36 more,58 years old,5001-10000 employees,Manufacturing, Electronics,,
294,Aon Hewitt,3.9,700,Private,London + 11 more,80 years old,10000+ employees,Recruitment consultant,,,
295,Reliance Digital,4.2,697,Private,Mumbai + 120 more,13 years old,10000+ employees,Retail, Electronics,,
296,Quess,4,696,Public,Bangalore + 110 more,13 years old,10000+ employees,BPO/KPO,,,
297,Indus Towers,4.1,694,Private,Gurgaon + 64 more,13 years old,10000+ employees,Telecom/ISP, Startup,,
298,Virtusa Consulting Servi...,3.3,692,Private,Southborough + 10 more,24 years old,10000+ employees,Consulting, IT/ITES,,
299,Conduent,3.5,691,Private,Florham Park,New Jersey + 10 more,3 years old,10000+ employees,BPO/KPO, IT/ITES,
